Altitude,Temperature,u,v,k,eps
7.51041,21.0551,6.776471047922969,0.10894707839489591,0.149199,0.00347678
12.5348,21.0061,7.048171441049491,0.10121176302360291,0.147102,0.00198335
17.5691,20.9569,7.223506648234338,0.09336707020317961,0.146492,0.00136321
22.616,20.9077,7.349971229000912,0.08593065974282761,0.147314,0.00103381
27.6757,20.8583,7.4468455218408245,0.07902414023104362,0.149107,0.000833221
32.748,20.8088,7.524006098408867,0.07265040092924512,0.151579,0.000699939
37.8331,20.7591,7.587195775276484,0.06677504958944135,0.154538,0.000605853
42.931,20.7094,7.640060900102498,0.06135173158936096,0.15785,0.000536419
48.0418,20.6595,7.685034478878865,0.05633267828760193,0.161416,0.000483399
53.1654,20.6095,7.723837907971407,0.051674088408679666,0.16516,0.000441804
58.3018,20.5593,7.757721501765147,0.04733456221094499,0.169027,0.000408448
63.4512,20.5091,7.787605141184903,0.04327884229580781,0.172973,0.000381208
68.6136,20.4587,7.8142083648017575,0.03947430589939539,0.176965,0.000358618
73.7889,20.4082,7.838080580814793,0.035892763825515143,0.180978,0.00033964
78.9773,20.3575,7.859641325355721,0.032512526579276384,0.184992,0.000323516
84.1787,20.3067,7.879249929631886,0.029311298792822616,0.188992,0.000309683
89.3932,20.2558,7.897185792345631,0.026270631478946788,0.192967,0.000297716
94.6208,20.2048,7.913668326314032,0.023374461770435666,0.196907,0.000287285
99.8615,20.1537,7.928887097437597,0.02060991452204602,0.200805,0.000278135
105.115,20.1024,7.943001605661163,0.0179643103175454,0.204657,0.000270063
110.383,20.051,7.956151331296806,0.01542543267037013,0.208458,0.000262905
115.663,19.9994,7.968425961120294,0.012985713076582481,0.212205,0.000256531
120.957,19.9477,7.979945174850036,0.010636389972248195,0.215895,0.000250833
126.264,19.8959,7.9907685202930985,0.008369093251452927,0.219528,0.000245722
131.584,19.844,8.000985757238288,0.006177251741245905,0.223101,0.000241124
136.918,19.7919,8.010646606208871,0.004055220128014338,0.226615,0.000236978
142.265,19.7397,8.019800860741155,0.0019983504291323944,0.230067,0.000233232
147.626,19.6874,8.028498168345374,1.0803920515314322e-16,0.233459,0.000229841
153.0,19.635,8.036778422260994,-0.0019427516806936448,0.23679,0.000226769
158.387,19.5824,8.044671396391553,-0.003834089665906035,0.240059,0.000223982
163.788,19.5297,8.052226957286388,-0.005677664607276605,0.243267,0.000221453
169.203,19.4768,8.059454859216265,-0.007477198628092977,0.246415,0.000219157
174.632,19.4238,8.066384949097754,-0.0092358794503257,0.249502,0.000217075
180.074,19.3707,8.073047146860457,-0.010955897464958475,0.252528,0.000215187
185.529,19.3174,8.079461253098037,-0.012640707594620392,0.255495,0.000213477
190.999,19.264,8.085637168107334,-0.014292037300625823,0.258401,0.000211932
196.482,19.2105,8.09159476549505,-0.015912344174617676,0.261249,0.00021054
201.979,19.1569,8.097363892177746,-0.017504815938565833,0.264037,0.000209288
207.49,19.1031,8.102934501832532,-0.019069719793129384,0.266767,0.000208168
213.014,19.0491,8.108326541079137,-0.02060851599896406,0.269439,0.000207171
218.553,18.9951,8.113569710808058,-0.022126386940013437,0.272053,0.000206288
224.105,18.9409,8.118654110722474,-0.023621605154963133,0.27461,0.000205509
229.672,18.8866,8.123589641119208,-0.025095898105127523,0.27711,0.000204821
235.252,18.8321,8.128396175604966,-0.026551723382149298,0.279553,0.000204215
240.847,18.7775,8.133083687489615,-0.027989811116356206,0.28194,0.000203684
246.456,18.7227,8.137642130450255,-0.029410428508407006,0.28427,0.000203219
252.078,18.6678,8.142091451106618,-0.030815035818957653,0.286544,0.000202812
257.715,18.6128,8.14644147674251,-0.03220635784030936,0.288762,0.000202459
263.366,18.5577,8.150682380074123,-0.033581669780160694,0.290924,0.000202153
269.031,18.5024,8.154823915372232,-0.03494469376179972,0.29303,0.00020189
274.711,18.4469,8.158886175282634,-0.036294895383908905,0.295079,0.000201663
280.405,18.3913,8.162859040469394,-0.03763353917813354,0.297072,0.00020147
286.113,18.3356,8.166752557255418,-0.038960357943814965,0.299009,0.000201305
291.835,18.2798,8.170556606304768,-0.040276616212598794,0.30089,0.000201166
297.572,18.2238,8.174301180560077,-0.041583507044481646,0.302713,0.000201049
303.323,18.1676,8.177966333401617,-0.04287957017880826,0.30448,0.000200951
309.089,18.1113,8.181561965126217,-0.044166533076892764,0.30619,0.000200869
314.869,18.0549,8.185098049043747,-0.04544512586906327,0.307843,0.0002008
320.664,17.9984,8.188564611844338,-0.04671461842499167,0.309438,0.000200741
326.474,17.9417,8.191971626837859,-0.04797574087500607,0.310975,0.000200691
332.298,17.8848,8.195328994321141,-0.04923022068042105,0.312454,0.000200648
338.136,17.8278,8.198626740984318,-0.050477327710908536,0.313875,0.000200608
343.99,17.7707,8.201864939840428,-0.05171606463548212,0.315237,0.000200571
349.858,17.7134,8.205063391483133,-0.05294988637677067,0.31654,0.000200534
355.741,17.656,8.208202222305735,-0.054176335343131835,0.317783,0.000200496
361.638,17.5984,8.211301378927965,-0.05539687179522145,0.318967,0.000200455
367.551,17.5407,8.214350888039961,-0.05661076560271154,0.32009,0.000200409
373.478,17.4828,8.21736064993855,-0.057819744226916714,0.321152,0.000200358
379.42,17.4248,8.220320691313875,-0.059023077537509204,0.322153,0.000200299
385.378,17.3667,8.223241058488826,-0.060220498333829926,0.323092,0.000200232
391.35,17.3084,8.226121605437342,-0.06141400127785256,0.323969,0.000200155
397.337,17.2499,8.22896247818549,-0.06260159170760343,0.324783,0.000200067
403.339,17.1914,8.231773577030102,-0.06378499708439736,0.325534,0.000199966
409.357,17.1326,8.23454492866131,-0.06496348727790624,0.326222,0.000199853
415.389,17.0737,8.237276460066084,-0.06613805961911705,0.326844,0.000199725
421.437,17.0147,8.239978290580352,-0.06730744957638407,0.327402,0.000199582
427.5,16.9555,8.242640300868189,-0.0684729216813531,0.327894,0.000199423
433.578,16.8962,8.245272464239456,-0.06963520606435161,0.328321,0.000199246
439.671,16.8367,8.24787492672022,-0.0707923080634063,0.32868,0.000199051
445.78,16.7771,8.25044746927138,-0.07194721967147742,0.328971,0.000198838
451.904,16.7173,8.25299023791901,-0.07309794622659158,0.329195,0.000198604
