Altitude,Temperature,u,v,k,eps
7.51041,21.0551,8.64491575935358,0.16321086831484574,0.241773,0.00725511
12.5348,21.0061,8.999254399885764,0.15557831030294736,0.236607,0.00412915
17.5691,20.9569,9.231609595629667,0.14694822856450487,0.232857,0.00282326
22.616,20.9077,9.402845650181817,0.13821733024799196,0.230555,0.00212585
27.6757,20.8583,9.53740980536655,0.1296619904289518,0.229204,0.00169745
32.748,20.8088,9.647542542945844,0.1213818646877212,0.228509,0.00140975
37.8331,20.7591,9.740270588082142,0.11340699451948717,0.228302,0.00120429
42.931,20.7094,9.819949509664053,0.10574398724141738,0.22848,0.00105084
48.0418,20.6595,9.889498855014576,0.09838656362213083,0.228974,0.000932283
53.1654,20.6095,9.950954733959968,0.09132373387411286,0.229734,0.000838208
58.3018,20.5593,10.005811052660537,0.08454048519654465,0.230721,0.000761949
63.4512,20.5091,10.055150724847998,0.07802692569089086,0.231904,0.000699037
68.6136,20.4587,10.099885259049696,0.07176335244893117,0.233257,0.000646372
73.7889,20.4082,10.140725774802329,0.06573370295174692,0.234758,0.000601735
78.9773,20.3575,10.178073464976094,0.05993567917772084,0.236386,0.000563497
84.1787,20.3067,10.212428596736384,0.05435170946672582,0.238125,0.000530437
89.3932,20.2558,10.244290939381848,0.04895824285025366,0.239959,0.000501623
94.6208,20.2048,10.273761392718997,0.043761929820527845,0.241875,0.000476329
99.8615,20.1537,10.301239324106707,0.038738548225197796,0.24386,0.000453984
105.115,20.1024,10.326825052506974,0.03388777269670842,0.245903,0.000434132
110.383,20.051,10.3508181241834,0.029191685758645926,0.247994,0.000416406
115.663,19.9994,10.373418181326532,0.02463767805913674,0.250124,0.000400504
120.957,19.9477,10.39462547286973,0.020228739252371657,0.252286,0.00038618
126.264,19.8959,10.414639475047965,0.0159502668836831,0.254471,0.000373228
131.584,19.844,10.433560008956507,0.01179595627713395,0.256673,0.000361476
136.918,19.7919,10.451586384874753,0.007749211875262619,0.258887,0.000350781
142.265,19.7397,10.468519458478882,0.003828622338324705,0.261106,0.000341018
147.626,19.6874,10.484757767349898,3.1098847117110016e-17,0.263327,0.000332084
153.0,19.635,10.500201573370314,-0.003729353912377835,0.265544,0.000323889
158.387,19.5824,10.514950614657616,-0.007366740626142571,0.267754,0.000316356
163.788,19.5297,10.529004808234015,-0.010913156692691182,0.269953,0.000309417
169.203,19.4768,10.542463809239212,-0.014376899890754571,0.272138,0.000303015
174.632,19.4238,10.555327368739842,-0.017760959874523526,0.274305,0.000297098
180.074,19.3707,10.56769522485339,-0.02107263787133195,0.276453,0.000291623
185.529,19.3174,10.579666949741767,-0.02432122821130786,0.278579,0.000286549
190.999,19.264,10.591043067170007,-0.027492128439783457,0.280681,0.000281842
196.482,19.2105,10.602122542557195,-0.030610231892951006,0.282756,0.000277473
201.979,19.1569,10.612705899668368,-0.03366093611614315,0.284803,0.000273412
207.49,19.1031,10.62299236580513,-0.03666183321821816,0.28682,0.000269637
213.014,19.0491,10.632981940967484,-0.03961292319917646,0.288806,0.000266126
218.553,18.9951,10.642574804060153,-0.04250790138308083,0.290759,0.00026286
224.105,18.9409,10.65187061022284,-0.04535506554866218,0.292678,0.00025982
229.672,18.8866,10.660869193499966,-0.04815640879871461,0.294562,0.000256993
235.252,18.8321,10.669670209031231,-0.050920228911968825,0.296411,0.000254363
240.847,18.7775,10.678173835721362,-0.05364022121248792,0.298222,0.000251917
246.456,18.7227,10.686379990592574,-0.056317382251668886,0.299995,0.000249639
252.078,18.6678,10.694488066902045,-0.05896731103557666,0.30173,0.000247513
257.715,18.6128,10.702298505437023,-0.06157640166094021,0.303425,0.000245527
263.366,18.5577,10.709911044314985,-0.06415195535509344,0.30508,0.000243669
269.031,18.5024,10.717425172720064,-0.06670426299956125,0.306694,0.000241927
274.711,18.4469,10.72464158037286,-0.06921672903688186,0.308266,0.000240292
280.405,18.3913,10.731759494574977,-0.07170694557591384,0.309796,0.000238755
286.113,18.3356,10.738679260186725,-0.07416661483792673,0.311282,0.000237306
291.835,18.2798,10.745400794230312,-0.0765967333743171,0.312725,0.00023594
297.572,18.2238,10.752023668867647,-0.07900659551521295,0.314124,0.000234648
303.323,18.1676,10.758547884098734,-0.08139620126061409,0.315477,0.000233424
309.089,18.1113,10.764873784783873,-0.08375725283179013,0.316785,0.000232263
314.869,18.0549,10.771100943084974,-0.08609904455886834,0.318047,0.000231159
320.664,17.9984,10.777129703862343,-0.08841327866311814,0.319261,0.000230106
326.474,17.9417,10.783159294417585,-0.09071754725339846,0.320428,0.000229101
332.298,17.8848,10.788990321493515,-0.09299625132364393,0.321546,0.000228138
338.136,17.8278,10.794722523207621,-0.09525669210118902,0.322616,0.000227214
343.99,17.7707,10.80035573360433,-0.0975008626888275,0.323636,0.000226324
349.858,17.7134,10.805890118639214,-0.09972676998376527,0.324605,0.000225466
355.741,17.656,10.811325429378911,-0.10193740364019344,0.325524,0.000224636
361.638,17.5984,10.816661831778996,-0.10413077055531798,0.326391,0.000223831
367.551,17.5407,10.821899242861683,-0.10630786728053583,0.327206,0.000223048
373.478,17.4828,10.827037579649183,-0.10846969036724396,0.327968,0.000222284
379.42,17.4248,10.832176497281194,-0.1106245375941734,0.328676,0.000221537
385.378,17.3667,10.837116685478321,-0.11275581340386223,0.32933,0.000220804
391.35,17.3084,10.842057454519958,-0.11488011335377213,0.329929,0.000220083
397.337,17.2499,10.846899149266413,-0.11698913966517255,0.330473,0.000219371
403.339,17.1914,10.851641686739889,-0.11908388888946016,0.330959,0.000218667
409.357,17.1326,10.856384722080094,-0.12117265880536607,0.331389,0.000217969
415.389,17.0737,10.861028600147321,-0.12324715163415904,0.331761,0.000217274
421.437,17.0147,10.865573320941577,-0.12530736737583945,0.332074,0.000216581
427.5,16.9555,10.87001880148507,-0.12735430258180402,0.332328,0.000215889
433.578,16.8962,10.874464779895288,-0.1293952584793869,0.332521,0.000215195
439.671,16.8367,10.878811601032531,-0.13142193728985707,0.332654,0.000214498
445.78,16.7771,10.883059098941228,-0.13343633211600844,0.332724,0.000213797
451.904,16.7173,10.887307094716649,-0.135444747633778,0.332732,0.00021309
458.044,16.6574,10.891555422403215,-0.13744917694595957,0.332677,0.000212376
464.199,16.5973,10.895604937677113,-0.13943103139229762,0.332557,0.000211653
470.369,16.5371,10.899754440001859,-0.14141719741177877,0.332372,0.000210921
476.555,16.4767,10.903705046936143,-0.14338178511681302,0.332121,0.000210177
482.757,16.4161,10.90765598578158,-0.14534238661625956,0.331803,0.000209421
488.974,16.3555,10.911607256538163,-0.1472990019101183,0.331418,0.000208652
495.207,16.2946,10.915459287043985,-0.14924233666826112,0.330963,0.000207869
501.456,16.2336,10.919311649460958,-0.15118168522081626,0.330438,0.00020707
507.72,16.1725,10.92306477162717,-0.1531077532376555,0.329842,0.000206254
514.0,16.1112,10.926818142726743,-0.1550308316003038,0.329175,0.000205421
520.296,16.0497,10.930472190597769,-0.15694162597863343,0.328434,0.00020457
526.607,15.9881,10.934126570379943,-0.15884843415137512,0.32762,0.000203699
532.935,15.9264,10.93768162693357,-0.16074295833979815,0.32673,0.000202808
539.278,15.8644,10.941237015398345,-0.16263349632263324,0.325764,0.000201895
545.638,15.8024,10.944692997656785,-0.16451274687254655,0.32472,0.000200961
552.013,15.7401,10.948149311826375,-0.16638801121687197,0.323598,0.000200003
558.405,15.6777,10.95160595790711,-0.16825928935560946,0.322395,0.000199022
564.812,15.6152,10.954963197781515,-0.17011928006142515,0.321111,0.000198017
571.236,15.5525,10.958320686589278,-0.17197628111304994,0.319745,0.000196986
577.676,15.4896,10.961678507308193,-0.17382929595908694,0.318294,0.000195929
584.132,15.4266,10.964936838842986,-0.17567201992359902,0.316758,0.000194846
590.604,15.3635,10.968195502288923,-0.17751075768252308,0.315134,0.000193735
597.092,15.3001,10.971354759528527,-0.17933820800852557,0.313422,0.000192597
603.597,15.2366,10.974514265701496,-0.18116266868033715,0.31162,0.00019143
610.119,15.173,10.977673937830035,-0.1829851362493546,0.309726,0.000190234
616.656,15.1092,10.980734120774454,-0.18479731293684729,0.307739,0.000189009
623.21,15.0452,10.983794552652235,-0.18660649997014916,0.305656,0.000187753
629.781,14.9811,10.98685515048559,-0.18841369390065713,0.303476,0.000186467
636.368,14.9168,10.989816176157035,-0.1902115935010372,0.301197,0.000185151
642.972,14.8523,10.992777367784052,-0.19200749999862327,0.298816,0.000183804
649.592,14.7877,10.995738725366648,-0.19380141339341533,0.296333,0.000182425
656.229,14.723,10.998600427809542,-0.1955870290094767,0.293744,0.000181016
662.883,14.658,11.001462296208015,-0.19737065152274405,0.291047,0.000179575
669.553,14.5929,11.004324081628699,-0.19915527058740842,0.28824,0.000178104
676.24,14.5277,11.007185950027168,-0.20093889310067567,0.28532,0.000176602
682.944,14.4623,11.00994816328594,-0.20271421783521215,0.282285,0.00017507
689.665,14.3967,11.01271021058914,-0.2044915356725426,0.279133,0.00017351
696.403,14.3309,11.01547225789234,-0.20626885350987317,0.275859,0.000171921
703.158,14.265,11.018134401122479,-0.20804086322266366,0.272462,0.000170305
709.93,14.199,11.020796461374829,-0.20981386948685113,0.268938,0.000168664
716.718,14.1328,11.023458189716033,-0.2115908619566265,0.265284,0.000167001
723.524,14.0664,11.026119586146086,-0.21337184063198988,0.261497,0.000165317
730.347,13.9998,11.02878065066499,-0.21515680551294097,0.257572,0.000163617
737.187,13.9331,11.031341562177472,-0.21693945192354328,0.253507,0.000161905
744.045,13.8663,11.03400154798514,-0.21873737197265505,0.249296,0.000160185
750.919,13.7993,11.036561131853027,-0.220535963205609,0.244936,0.000158464
757.811,13.7321,11.03911996892083,-0.22234352340113572,0.240421,0.000156749
764.721,13.6648,11.041677893232967,-0.22416204566202885,0.235747,0.00015505
771.647,13.5973,11.044234572878297,-0.22599551619387692,0.230909,0.000153379
778.591,13.5297,11.046690352717121,-0.22783563721794858,0.225899,0.00015175
785.553,13.4619,11.049244128139895,-0.2297039870486907,0.220712,0.000150165
792.532,13.394,11.051796161029134,-0.23159326445876932,0.21534,0.000148628
799.529,13.326,11.05434595351812,-0.2335094487565663,0.209776,0.00014714
806.543,13.2578,11.056793684511574,-0.23544623526614447,0.204013,0.000145705
813.575,13.1895,11.05943773858408,-0.2374354931834757,0.198043,0.000144328
820.624,13.121,11.061978735427607,-0.239457311929352,0.191857,0.000143015
827.692,13.0525,11.064515832315132,-0.24152596859088601,0.185445,0.000141774
834.777,12.9838,11.067148020564055,-0.2436577333579847,0.178798,0.000140617
841.88,12.9151,11.069774732279011,-0.2458552705172837,0.171905,0.000139556
849.001,12.8463,11.072494792821832,-0.24813684336148356,0.164755,0.000138612
856.14,12.7774,11.075306791570132,-0.25051939326433315,0.157332,0.00013781
863.296,12.7084,11.078109745739614,-0.2530105672694529,0.149618,0.000137188
870.471,12.6394,11.08110089116499,-0.2556518747192291,0.141596,0.000136713
877.664,12.5704,11.08407842823325,-0.25845661659810926,0.133242,0.000136347
884.875,12.5014,11.087338418140927,-0.26148456554117994,0.124538,0.000136027
892.104,12.4324,11.090677318741475,-0.2647699501122254,0.115461,0.000135671
899.351,12.3636,11.094189557573989,-0.26838385082798577,0.105991,0.000135158
906.616,12.2948,11.098066976917009,-0.2724325528716506,0.0961088,0.000134315
913.9,12.2262,11.102199549407423,-0.27703232738911077,0.0857967,0.000132895
921.202,12.1578,11.106771151456186,-0.2823851284976659,0.0750456,0.00013053
928.523,12.0896,11.111956946806586,-0.2887975482112967,0.0638563,0.000126687
935.862,12.0219,11.117816180415904,-0.2967632048390617,0.0522582,0.000120555
943.219,11.9545,11.124673290701073,-0.3072062064447797,0.0403307,0.000110924
950.595,11.8876,11.13317018436183,-0.3220584794734354,0.0282827,9.59385e-05
957.989,11.8214,11.144113557252076,-0.34609342332161314,0.016661,7.30159e-05
965.402,11.7559,11.15899971587312,-0.3938794388231079,0.0070864,4.09661e-05
972.834,11.6912,11.17213716275291,-0.5012317706724011,0.00283433,1.57161e-05
980.284,11.6277,11.156534645420614,-0.6428203912529246,0.00180502,7.97488e-06
987.753,11.5653,11.107055620485244,-0.7646408416192124,0.000949012,4.31755e-06
995.241,11.5044,10.994639080238867,-0.873451410308999,0.00022127,1.13463e-06
1002.75,11.4449,10.811494952124427,-0.8109351219383547,6.56147e-07,7.14963e-09
1010.27,11.3876,10.945026894596484,-0.8426129513179026,2.97388e-11,2.16818e-13
1017.82,11.3321,10.778239930725062,-0.9536279848845008,3.21552e-15,1.76138e-17
1025.38,11.2793,10.689919459390754,-0.8923572391199686,1.46037e-19,6.80041e-22
1032.96,11.229,10.68747733487448,-0.8903531196187022,1e-24,1e-24
1040.57,11.182,10.687380036055005,-0.8903165227699513,1e-24,1e-24
1048.19,11.1382,10.687380060782386,-0.890316225797635,1e-24,1e-24
1055.83,11.0983,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1063.49,11.0623,10.687380060865364,-0.8903162248010836,1e-24,1e-24
1071.17,11.0307,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1078.86,11.0036,10.68738006103132,-0.8903162228079808,1e-24,1e-24
1086.58,10.9812,10.687380061197276,-0.890316220814878,1e-24,1e-24
1094.32,10.9637,10.687380061197276,-0.890316220814878,1e-24,1e-24
1102.07,10.9507,10.68738006103132,-0.8903162228079808,1e-24,1e-24
1109.85,10.9426,10.687380060782386,-0.890316225797635,1e-24,1e-24
1117.64,10.9383,10.68738006061643,-0.8903162277907378,1e-24,1e-24
1125.46,10.938,10.687380060450476,-0.8903162297838406,1e-24,1e-24
1133.29,10.9406,10.687380060450476,-0.8903162297838406,1e-24,1e-24
1141.15,10.9456,10.687380060533453,-0.8903162287872892,1e-24,1e-24
1149.02,10.9519,10.687380060782386,-0.890316225797635,1e-24,1e-24
1156.92,10.9587,10.68738006103132,-0.8903162228079808,1e-24,1e-24
1164.83,10.9648,10.687380061114297,-0.8903162218114294,1e-24,1e-24
1172.76,10.9695,10.687380060782386,-0.890316225797635,1e-24,1e-24
1180.72,10.9716,10.687380060367497,-0.890316230780392,1e-24,1e-24
1188.69,10.9707,10.687380060118564,-0.8903162337700462,1e-24,1e-24
1196.68,10.9658,10.68738005986963,-0.8903162367597004,1e-24,1e-24
1204.7,10.9565,10.68738005986963,-0.8903162367597004,1e-24,1e-24
1212.73,10.9428,10.687380060035586,-0.8903162347665976,1e-24,1e-24
1220.79,10.9239,10.687380060367497,-0.890316230780392,1e-24,1e-24
1228.86,10.9003,10.687380060782386,-0.890316225797635,1e-24,1e-24
1236.95,10.8719,10.68738006103132,-0.8903162228079808,1e-24,1e-24
1245.07,10.8387,10.68738006069941,-0.8903162267941864,1e-24,1e-24
1253.21,10.8013,10.687380060118564,-0.8903162337700462,1e-24,1e-24
1261.36,10.7596,10.687380059703674,-0.8903162387528032,1e-24,1e-24
1269.54,10.714,10.687380059371764,-0.8903162427390088,1e-24,1e-24
1277.74,10.6652,10.687380059371764,-0.8903162427390088,1e-24,1e-24
1285.95,10.6129,10.68738005953772,-0.890316240745906,1e-24,1e-24
1294.19,10.558,10.687380060035586,-0.8903162347665976,1e-24,1e-24
1302.45,10.5005,10.68738006061643,-0.8903162277907378,1e-24,1e-24
1310.73,10.4406,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1319.03,10.3788,10.687380060533453,-0.8903162287872892,1e-24,1e-24
1327.35,10.3153,10.68738005986963,-0.8903162367597004,1e-24,1e-24
1335.7,10.25,10.687380059371764,-0.8903162427390088,1e-24,1e-24
1344.06,10.1835,10.687380059039853,-0.8903162467252144,1e-24,1e-24
1352.44,10.1158,10.687380059039853,-0.8903162467252144,1e-24,1e-24
1360.85,10.0469,10.687380059371764,-0.8903162427390088,1e-24,1e-24
1369.28,9.97707,10.68738005986963,-0.8903162367597004,1e-24,1e-24
1377.73,9.90643,10.68738006061643,-0.8903162277907378,1e-24,1e-24
1386.19,9.83502,10.687380060865364,-0.8903162248010836,1e-24,1e-24
1394.69,9.76295,10.687380060450476,-0.8903162297838406,1e-24,1e-24
1403.2,9.69028,10.687380059703674,-0.8903162387528032,1e-24,1e-24
1411.73,9.61708,10.68738005912283,-0.890316245728663,1e-24,1e-24
1420.29,9.54338,10.68738005879092,-0.8903162497148686,1e-24,1e-24
1428.86,9.46924,10.68738005879092,-0.8903162497148686,1e-24,1e-24
1437.46,9.3947,10.68738005912283,-0.890316245728663,1e-24,1e-24
1446.08,9.31978,10.687380059620697,-0.8903162397493546,1e-24,1e-24
1454.72,9.24451,10.687380060367497,-0.890316230780392,1e-24,1e-24
1463.39,9.16893,10.687380060865364,-0.8903162248010836,1e-24,1e-24
1472.07,9.09304,10.68738006061643,-0.8903162277907378,1e-24,1e-24
1480.78,9.01685,10.68738005986963,-0.8903162367597004,1e-24,1e-24
1489.51,8.9404,10.687380059371764,-0.8903162427390088,1e-24,1e-24
1498.26,8.86368,10.687380059039853,-0.8903162467252144,1e-24,1e-24
1507.03,8.78671,10.687380059039853,-0.8903162467252144,1e-24,1e-24
1515.83,8.7095,10.687380059288786,-0.8903162437355602,1e-24,1e-24
1524.64,8.63205,10.687380059786653,-0.8903162377562518,1e-24,1e-24
1533.48,8.55437,10.687380060533453,-0.8903162287872892,1e-24,1e-24
1542.34,8.47646,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1551.23,8.39832,10.687380060533453,-0.8903162287872892,1e-24,1e-24
1560.13,8.31997,10.687380059952607,-0.890316235763149,1e-24,1e-24
1569.06,8.2414,10.68738005945474,-0.8903162417424574,1e-24,1e-24
1578.01,8.16262,10.687380059288786,-0.8903162437355602,1e-24,1e-24
1586.99,8.08362,10.687380059371764,-0.8903162427390088,1e-24,1e-24
1595.98,8.00442,10.687380059703674,-0.8903162387528032,1e-24,1e-24
1605.0,7.925,10.687380060201543,-0.8903162327734948,1e-24,1e-24
1614.04,7.84537,10.687380060865364,-0.8903162248010836,1e-24,1e-24
1623.11,7.76553,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1632.2,7.68548,10.687380060450476,-0.8903162297838406,1e-24,1e-24
1641.31,7.60523,10.687380059952607,-0.890316235763149,1e-24,1e-24
1650.44,7.52476,10.68738005953772,-0.890316240745906,1e-24,1e-24
1659.59,7.44409,10.68738005945474,-0.8903162417424574,1e-24,1e-24
1668.77,7.36321,10.68738005945474,-0.8903162417424574,1e-24,1e-24
1677.98,7.28212,10.687380059703674,-0.8903162387528032,1e-24,1e-24
1687.2,7.20082,10.687380060035586,-0.8903162347665976,1e-24,1e-24
1696.45,7.11932,10.687380060450476,-0.8903162297838406,1e-24,1e-24
1705.72,7.0376,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1715.02,6.95568,10.687380061114297,-0.8903162218114294,1e-24,1e-24
1724.34,6.87354,10.687380060865364,-0.8903162248010836,1e-24,1e-24
1733.68,6.7912,10.687380060533453,-0.8903162287872892,1e-24,1e-24
1743.04,6.70864,10.687380060450476,-0.8903162297838406,1e-24,1e-24
1752.43,6.62587,10.687380060533453,-0.8903162287872892,1e-24,1e-24
1761.85,6.54289,10.68738006069941,-0.8903162267941864,1e-24,1e-24
1771.28,6.4597,10.68738006103132,-0.8903162228079808,1e-24,1e-24
1780.74,6.3763,10.687380061114297,-0.8903162218114294,1e-24,1e-24
1790.23,6.29268,10.687380060948342,-0.8903162238045322,1e-24,1e-24
1799.73,6.20885,10.68738006061643,-0.8903162277907378,1e-24,1e-24
1809.27,6.12481,10.687380060367497,-0.890316230780392,1e-24,1e-24
