Altitude,Temperature,u,v,k,eps
7.51041,21.0551,6.109621064384717,0.13180225093507145,0.278469,0.00889985
12.5348,21.0061,6.485136619576877,0.1263979277836705,0.273687,0.00507257
17.5691,20.9569,6.730250073366688,0.11943295289282288,0.270576,0.00347896
22.616,20.9077,6.909876705374059,0.11211003689655102,0.269462,0.00262745
27.6757,20.8583,7.0499456044318976,0.1048388885880015,0.26968,0.00210503
32.748,20.8088,7.163592770705899,0.09777919405569616,0.270843,0.00175497
37.8331,20.7591,7.2583791198056185,0.09099339643521563,0.27272,0.00150571
42.931,20.7094,7.3390387858057515,0.08450512965994984,0.27516,0.00132017
48.0418,20.6595,7.40876655334819,0.0783146969167961,0.278055,0.00117733
53.1654,20.6095,7.4697921369964595,0.07241601830305765,0.28132,0.0010644
58.3018,20.5593,7.523751640330209,0.06679395854038199,0.28489,0.000973192
63.4512,20.5091,7.571879462394956,0.06143495310056407,0.288709,0.000898215
68.6136,20.4587,7.6151284154637535,0.056322455916895775,0.292732,0.000835663
73.7889,20.4082,7.654230311916103,0.05144013783736121,0.29692,0.000782815
78.9773,20.3575,7.68980651218456,0.04677227585797478,0.301241,0.000737676
84.1787,20.3067,7.7223376793151,0.04230265158686619,0.305668,0.000698755
89.3932,20.2558,7.752214508032011,0.038019705075363626,0.310177,0.000664914
94.6208,20.2048,7.779767202180311,0.03390967330296642,0.314749,0.000635273
99.8615,20.1537,7.805295720165394,0.029957691713260116,0.319365,0.000609139
105.115,20.1024,7.8290102440702585,0.026155544955763332,0.324012,0.000585961
110.383,20.051,7.851130621792635,0.02249107153937291,0.328678,0.000565295
115.663,19.9994,7.871816786348889,0.01895587918936291,0.333351,0.000546781
120.957,19.9477,7.891208571128737,0.01554150486130981,0.338023,0.000530123
126.264,19.8959,7.909455667335916,0.012237530132903691,0.342685,0.000515075
131.584,19.844,7.926657901106136,0.009037341183060352,0.347332,0.000501434
136.918,19.7919,7.942905240761084,0.005936279568582216,0.351957,0.000489027
142.265,19.7397,7.958297320437163,0.002925740705649613,0.356556,0.00047771
147.626,19.6874,7.972903912829754,-6.702939802867144e-17,0.361125,0.000467359
153.0,19.635,7.986784932820212,-0.0028447117647439207,0.365659,0.000457869
158.387,19.5824,8.000010153103918,-0.005614119182845223,0.370156,0.000449148
163.788,19.5297,8.01262934274925,-0.00831302223689737,0.374613,0.000441118
169.203,19.4768,8.024682317010907,-0.010945260912974921,0.379028,0.00043371
174.632,19.4238,8.036228894770595,-0.01351559980882232,0.383399,0.000426866
180.074,19.3707,8.04728888765601,-0.016026954298844244,0.387724,0.000420534
185.529,19.3174,8.057912256734836,-0.018482133602899513,0.392001,0.000414666
190.999,19.264,8.068128671448793,-0.020886008473278983,0.39623,0.000409224
196.482,19.2105,8.077958135424884,-0.023239503521651987,0.40041,0.000404171
201.979,19.1569,8.08742046029081,-0.025545534122423972,0.404539,0.000399477
207.49,19.1031,8.096565415114943,-0.02780890025818812,0.408616,0.000395111
213.014,19.0491,8.10539299989729,-0.030029601928944424,0.412642,0.00039105
218.553,18.9951,8.113923122265197,-0.032209559127730006,0.416615,0.000387271
224.105,18.9409,8.122185547660038,-0.03435264722546882,0.420534,0.000383754
229.672,18.8866,8.13019022989549,-0.036459826218679256,0.424401,0.00038048
235.252,18.8321,8.13794712278523,-0.03853205610387993,0.428214,0.000377433
240.847,18.7775,8.145485991770629,-0.04057321225199468,0.431972,0.000374598
246.456,18.7227,8.152796787038362,-0.04258333004787203,0.435676,0.000371963
252.078,18.6678,8.159919515842432,-0.04456425871485195,0.439326,0.000369514
257.715,18.6128,8.16684393637021,-0.04651802440051798,0.442921,0.000367241
263.366,18.5577,8.17359014824835,-0.04844455633517277,0.446462,0.000365134
269.031,18.5024,8.180167913291225,-0.05034680527806983,0.449947,0.000363183
274.711,18.4469,8.186577231498829,-0.052224771229209065,0.453378,0.000361381
280.405,18.3913,8.192838106498172,-0.05407937880026057,0.456754,0.00035972
286.113,18.3356,8.198950250290297,-0.05591361413532671,0.460075,0.000358193
291.835,18.2798,8.20492380868818,-0.05772644646819141,0.463341,0.000356791
297.572,18.2238,8.210768639505845,-0.0595198311767403,0.466552,0.000355502
303.323,18.1676,8.216484742743296,-0.06129376826097403,0.469708,0.000354318
