Altitude,Temperature,u,v,k,eps
7.51041,21.0432,8.215284563317839,0.3278964053045228,0.211454,0.00620125
12.5348,20.9949,8.569566829928409,0.32521000152323454,0.201604,0.00349315
17.5691,20.9464,8.80707294678376,0.3187409864287859,0.193508,0.00236153
22.616,20.8979,8.98606577200463,0.31061570985190085,0.186665,0.0017581
27.6757,20.8492,9.130111176100055,0.30159229259530634,0.180592,0.0013874
32.748,20.8004,9.251003764997067,0.2920320807892055,0.175019,0.001138
37.8331,20.7515,9.355451636351393,0.28208681711495304,0.169794,0.000959339
42.931,20.7025,9.44764050859515,0.271855300393365,0.164823,0.00082539
48.0418,20.6534,9.53033791316583,0.26139110060202586,0.160045,0.000721451
53.1654,20.6042,9.605499301859123,0.2507208311726281,0.155419,0.000638614
58.3018,20.5549,9.674536818071019,0.2398603360047123,0.150914,0.000571184
63.4512,20.5055,9.738519225488158,0.2287939887705428,0.146508,0.000515354
68.6136,20.456,9.798285974163154,0.21753290743614664,0.142184,0.000468487
73.7889,20.4064,9.85448610275634,0.20605590669077478,0.137927,0.000428703
78.9773,20.3567,9.90768626101246,0.19433832752425234,0.133724,0.000394629
84.1787,20.3069,9.95831193987329,0.18236412442425579,0.129567,0.000365243
89.3932,20.2571,10.006772791700744,0.17008988146765405,0.125445,0.00033977
94.6208,20.2071,10.053400109006896,0.1574882989943489,0.121349,0.000317531
99.8615,20.1571,10.098481975313147,0.1445205455133016,0.117274,0.000297994
105.115,20.107,10.14227882604693,0.13111263867431416,0.113212,0.000280737
110.383,20.0569,10.185027755290616,0.11722602466951543,0.109159,0.000265418
115.663,20.0067,10.226920633603031,0.10280082287886234,0.105111,0.00025176
120.957,19.9564,10.268196291916267,0.08775728503668703,0.101064,0.000239532
126.264,19.9062,10.308960182807796,0.07201246686106384,0.0970156,0.000228541
131.584,19.8559,10.349360967845769,0.055494955901009224,0.0929645,0.000218625
136.918,19.8055,10.389676380204026,0.03806595632031439,0.0889101,0.000209644
142.265,19.7552,10.43008620324411,0.019606817611560617,0.0848527,0.000201475
147.626,19.7049,10.470566262571475,4.659562848555707e-17,0.0807941,0.000194009
153.0,19.6546,10.511484183040734,-0.020952617604286346,0.0767384,0.000187143
158.387,19.6044,10.552809746658697,-0.043397959919734365,0.0726913,0.000180783
163.788,19.5542,10.594796512204653,-0.06759236255730328,0.0686593,0.000174842
169.203,19.5042,10.637698038457893,-0.09379216112795145,0.0646507,0.000169239
174.632,19.4542,10.681363997751266,-0.12223187981484426,0.0606755,0.000163896
180.074,19.4044,10.72622370315985,-0.15330609469881493,0.0567456,0.000158736
185.529,19.3547,10.77220463149999,-0.18736742510411186,0.0528743,0.000153685
190.999,19.3053,10.819522065426275,-0.2248583112850464,0.0490764,0.000148672
