Altitude,Temperature,u,v,k,eps
7.51041,21.0551,5.456149841836114,0.1704498715979329,0.400664,0.015476
12.5348,21.0061,5.914174489427159,0.16967513609543522,0.391573,0.00881825
17.5691,20.9569,6.215762325274017,0.16499755453990067,0.384691,0.00602746
22.616,20.9077,6.439186388462426,0.1587628140976919,0.379731,0.00453552
27.6757,20.8583,6.615957843385442,0.1518134814390725,0.375996,0.00361709
32.748,20.8088,6.761799320931909,0.1445202018569341,0.37305,0.00299855
37.8331,20.7591,6.885671856038743,0.13708385556280894,0.370651,0.00255529
42.931,20.7094,6.9931443014316015,0.129612049805225,0.368656,0.00222291
48.0418,20.6595,7.087906956092499,0.12216303768148644,0.366978,0.00196494
53.1654,20.6095,7.172534071611259,0.11477187275472703,0.365559,0.00175923
58.3018,20.5593,7.248879936354454,0.10746124100271022,0.364358,0.00159159
63.4512,20.5091,7.318343430546866,0.10025197789330048,0.363346,0.00145252
68.6136,20.4587,7.381988171123672,0.09315499283546907,0.362501,0.0013354
73.7889,20.4082,7.440641385018538,0.08615630011445612,0.361805,0.00123553
78.9773,20.3575,7.494975095717151,0.07928563917685878,0.361241,0.00114944
84.1787,20.3067,7.545533697320589,0.07253138837422313,0.3608,0.00107453
89.3932,20.2558,7.592761213735352,0.06588700779412239,0.360468,0.00100881
94.6208,20.2048,7.637022570237471,0.05935793277600039,0.360238,0.000950737
99.8615,20.1537,7.678641645881258,0.052945698956424835,0.3601,0.000899095
105.115,20.1024,7.717870114606385,0.0466425456597325,0.360046,0.000852908
110.383,20.051,7.754941372601401,0.04045359335203461,0.360071,0.000811388
115.663,19.9994,7.790057657161938,0.034378565890086206,0.360167,0.000773889
120.957,19.9477,7.823388549784233,0.028401903192473862,0.360328,0.000739881
126.264,19.8959,7.855085354213391,0.022520926319561072,0.360548,0.000708921
131.584,19.844,7.8852810964433795,0.016745837473487346,0.360823,0.000680637
136.918,19.7919,7.9140860339975845,0.011070058011741858,0.361147,0.000654716
142.265,19.7397,7.941620311728197,0.005485512385329686,0.361516,0.00063089
147.626,19.6874,7.967966022078659,-9.6563165701751e-17,0.361925,0.000608931
153.0,19.635,7.99320226367944,-0.005398454396116955,0.36237,0.000588641
158.387,19.5824,8.01742940672512,-0.010714932539048061,0.362847,0.000569852
163.788,19.5297,8.040688497437413,-0.015945534725919322,0.363351,0.000552413
169.203,19.4768,8.063070018682087,-0.021093845786274473,0.363881,0.000536197
174.632,19.4238,8.08460363244557,-0.026164356439563816,0.364431,0.000521089
180.074,19.3707,8.105358550029527,-0.031167545031174054,0.364999,0.00050699
185.529,19.3174,8.12538869879745,-0.03608123410709531,0.365581,0.000493812
190.999,19.264,8.144719250016319,-0.040939576373206256,0.366175,0.000481475
196.482,19.2105,8.16340413104963,-0.04572039437549769,0.366778,0.00046991
201.979,19.1569,8.181482891212617,-0.05042967573990401,0.367387,0.000459055
207.49,19.1031,8.198973808256417,-0.055080301608202355,0.368,0.000448855
213.014,19.0491,8.215926318825076,-0.05967975651281012,0.368614,0.000439259
218.553,18.9951,8.232364688295663,-0.06420137228026823,0.369226,0.000430222
224.105,18.9409,8.248304200606341,-0.0686778047099706,0.369835,0.000421704
229.672,18.8866,8.263797286214128,-0.07309676367671764,0.370438,0.000413668
235.252,18.8321,8.278843945119023,-0.07745824918050954,0.371034,0.000406082
240.847,18.7775,8.293483726636259,-0.08176824884728029,0.37162,0.000398914
246.456,18.7227,8.307725021188165,-0.08603814691232291,0.372195,0.000392136
252.078,18.6678,8.321590597245324,-0.09025116253098663,0.372757,0.000385718
257.715,18.6128,8.335098732558874,-0.09442017684504789,0.373304,0.000379634
263.366,18.5577,8.348280586021723,-0.09853979324514853,0.373834,0.000373859
269.031,18.5024,8.361123276492094,-0.1026282894824232,0.374347,0.000368371
274.711,18.4469,8.373669347098193,-0.10667187852518796,0.37484,0.000363149
280.405,18.3913,8.38591879784002,-0.11067056037344329,0.375312,0.000358175
286.113,18.3356,8.39788990646871,-0.1146372161689652,0.375762,0.000353431
291.835,18.2798,8.409594057219552,-0.11856345548942841,0.376188,0.000348902
297.572,18.2238,8.421031250092549,-0.12244927833483292,0.37659,0.000344572
303.323,18.1676,8.432229650167645,-0.12630906275343884,0.376965,0.000340428
309.089,18.1113,8.44319075435132,-0.13013292141643681,0.377312,0.000336458
314.869,18.0549,8.453924449972389,-0.1339223512303107,0.377631,0.000332649
320.664,17.9984,8.464439127453172,-0.13768873643035356,0.377919,0.000328992
326.474,17.9417,8.474747667935448,-0.14141379926543027,0.378177,0.000325476
332.298,17.8848,8.48484707760625,-0.14511731439315959,0.378402,0.000322092
338.136,17.8278,8.494758628029679,-0.148792388297699,0.378594,0.000318831
343.99,17.7707,8.504482319205735,-0.1524390209790494,0.378752,0.000315686
349.858,17.7134,8.514028038463225,-0.15605870934369356,0.378874,0.000312647
355.741,17.656,8.523395785802155,-0.15965145339163214,0.378959,0.000309709
361.638,17.5984,8.532595448551328,-0.1632187500293488,0.379007,0.000306865
367.551,17.5407,8.541636914039557,-0.16676209616332652,0.379016,0.000304108
373.478,17.4828,8.55052018226684,-0.1702814917935662,0.378985,0.000301433
379.42,17.4248,8.559255140561985,-0.1737784338265506,0.378913,0.000298834
385.378,17.3667,8.567841788924998,-0.1772529222622806,0.378799,0.000296306
391.35,17.3084,8.57628012735587,-0.18070495710075532,0.378642,0.000293844
397.337,17.2499,8.584589930512225,-0.18413753215494297,0.378442,0.000291444
403.339,17.1914,8.592761311065253,-0.18754915051835921,0.378196,0.000289101
409.357,17.1326,8.600804156343761,-0.19094130909748772,0.377904,0.000286811
415.389,17.0737,8.608718466347755,-0.19431400789232892,0.377566,0.00028457
421.437,17.0147,8.616514128406036,-0.19766874380936625,0.377179,0.000282375
427.5,16.9555,8.624191142518608,-0.2010055168485995,0.376743,0.000280221
433.578,16.8962,8.631759396014282,-0.20432582391651277,0.376257,0.000278106
439.671,16.8367,8.63921049847073,-0.20761828077781297,0.37572,0.000276027
445.78,16.7771,8.646551343403793,-0.21090415899660214,0.375131,0.00027398
451.904,16.7173,8.653784924626441,-0.21416368391526217,0.374489,0.000271963
458.044,16.6574,8.660918135654514,-0.21741812709789413,0.373792,0.000269973
464.199,16.5973,8.667953970300978,-0.22064771388688104,0.373039,0.000268007
470.369,16.5371,8.674889434752869,-0.2238722189398401,0.372231,0.000266064
476.555,16.4767,8.681727522823154,-0.2270718675991539,0.371364,0.000264139
482.757,16.4161,8.688476624934154,-0.23025804410011436,0.370439,0.000262232
488.974,16.3555,8.69513524417939,-0.2334406357715313,0.369454,0.000260339
495.207,16.2946,8.701706374371827,-0.23659986795578616,0.368409,0.00025846
501.456,16.2336,8.708188518604985,-0.23974562798168814,0.367301,0.000256592
507.72,16.1725,8.714591564207668,-0.24287941275572086,0.366129,0.000254732
514.0,16.1112,8.720905623851069,-0.24599972537140047,0.364893,0.00025288
520.296,16.0497,8.727140584863998,-0.24910806273521105,0.363592,0.000251033
526.607,15.9881,8.733294950339971,-0.2522143121759616,0.362223,0.00024919
532.935,15.9264,8.739381601420762,-0.2553001959425173,0.360786,0.000247349
539.278,15.8644,8.74538915387108,-0.2583741044572038,0.359279,0.000245508
545.638,15.8024,8.751317607690927,-0.26143603772002083,0.357701,0.000243667
552.013,15.7401,8.757176850209111,-0.2644874926374525,0.356051,0.000241822
558.405,15.6777,8.76296688142563,-0.2675284692094986,0.354326,0.000239974
564.812,15.6152,8.768687701340486,-0.2705589674361591,0.352527,0.000238121
571.236,15.5525,8.774339309953678,-0.27357898731743396,0.350651,0.000236262
577.676,15.4896,8.77993009768753,-0.27659991308861565,0.348696,0.000234394
584.132,15.4266,8.785453171026205,-0.279600473185603,0.346662,0.000232518
590.604,15.3635,8.79091542348554,-0.2826019391724978,0.344545,0.000230632
597.092,15.3001,8.796309961549694,-0.2855830394851975,0.342346,0.000228735
603.597,15.2366,8.801643678734512,-0.28856504568780433,0.340061,0.000226826
610.119,15.173,8.806918071946475,-0.29153807045150926,0.33769,0.000224904
616.656,15.1092,8.812141531607908,-0.2945134980116053,0.33523,0.000222969
623.21,15.0452,8.81730716420297,-0.29747005680399,0.332679,0.000221018
629.781,14.9811,8.822411975918694,-0.30042752148628193,0.330036,0.000219053
636.368,14.9168,8.827457463661565,-0.30337600472967197,0.327298,0.000217072
642.972,14.8523,8.832463402089198,-0.30631850034712754,0.324463,0.000215075
649.592,14.7877,8.837408519637494,-0.30926190185448993,0.321529,0.000213061
656.229,14.723,8.842304200541742,-0.31219781882943426,0.318493,0.000211031
662.883,14.658,8.847139060566654,-0.3151346416942856,0.315353,0.000208983
669.553,14.5929,8.851944258605139,-0.3180669738396862,0.312107,0.000206919
676.24,14.5277,8.856688635764282,-0.32100021187499383,0.308752,0.000204838
682.944,14.4623,8.861393463608195,-0.32392746228436703,0.305285,0.000202741
689.665,14.3967,8.866057245230383,-0.3268586123966143,0.301703,0.000200629
696.403,14.3309,8.870668596395559,-0.32980205263406165,0.298004,0.000198503
703.158,14.265,8.875241146698741,-0.33273456158116976,0.294183,0.000196364
709.93,14.199,8.879781639965124,-0.33567839953492185,0.290238,0.000194215
716.718,14.1328,8.884280937319136,-0.33862712592442906,0.286165,0.000192057
723.524,14.0664,8.888738739379482,-0.34158271821545333,0.281961,0.000189895
730.347,13.9998,8.893164634093678,-0.34454865078024044,0.277622,0.00018773
737.187,13.9331,8.897558322080421,-0.3475269010845519,0.273143,0.000185569
744.045,13.8663,8.901929540977878,-0.35051995476775283,0.26852,0.000183417
750.919,13.7993,8.906267954385292,-0.3535292811220014,0.263748,0.000181282
757.811,13.7321,8.910593037578984,-0.35655985142602725,0.258823,0.000179171
764.721,13.6648,8.914884267448095,-0.3596136155312681,0.253738,0.000177095
771.647,13.5973,8.919171156288401,-0.36269605289005485,0.248488,0.000175067
778.591,13.5297,8.923442768936559,-0.36581258772607095,0.243066,0.000173092
785.553,13.4619,8.92771843097824,-0.3689691800509261,0.237465,0.000171169
792.532,13.394,8.931987356940743,-0.3721702653554221,0.231679,0.000169301
799.529,13.326,8.93625838631834,-0.3754242616762089,0.225699,0.000167491
806.543,13.2578,8.940550245934112,-0.37874108395642064,0.219519,0.000165742
813.575,13.1895,8.94486173826287,-0.3821286420591043,0.213129,0.000164061
820.624,13.121,8.949201253726942,-0.38559832021955254,0.206521,0.000162453
827.692,13.0525,8.953577033058002,-0.38916249140593895,0.199686,0.000160927
834.777,12.9838,8.958016343192103,-0.39284146606380943,0.192614,0.000159496
841.88,12.9151,8.962507051440713,-0.39664857827989375,0.185294,0.000158174
849.001,12.8463,8.967085563615456,-0.4006105790706254,0.177714,0.000156983
856.14,12.7774,8.971767762417084,-0.4047561693038758,0.169859,0.00015595
863.296,12.7084,8.976568482711825,-0.4091209709776822,0.161711,0.000155115
870.471,12.6394,8.981531173517789,-0.4137520179396991,0.153254,0.000154446
877.664,12.5704,8.986687600236495,-0.4187067119256681,0.144465,0.000153903
884.875,12.5014,8.992067282909746,-0.42405728566454554,0.135326,0.000153426
892.104,12.4324,8.997736596462893,-0.4298997567030774,0.125818,0.000152932
899.351,12.3636,9.003757425101853,-0.4363598045744374,0.115923,0.000152306
906.616,12.2948,9.010215028011732,-0.4436091263122491,0.105627,0.00015138
913.9,12.2262,9.017204858833761,-0.4518856916674807,0.0949195,0.000149922
921.202,12.1578,9.02488605170286,-0.46154128512970427,0.0838029,0.00014759
928.523,12.0896,9.03345146762593,-0.4731057459500279,0.0722957,0.000143901
935.862,12.0219,9.04316740897978,-0.4874254735873999,0.0604564,0.000138152
943.219,11.9545,9.054481213586905,-0.5059548166494683,0.0484117,0.000129353
950.595,11.8876,9.067981775114392,-0.5313508647562609,0.0364427,0.000116157
957.989,11.8214,9.084536923072415,-0.5688373806264779,0.0251431,9.71246e-05
965.402,11.7559,9.10466270891483,-0.6285002512264181,0.015697,7.22786e-05
972.834,11.6912,9.125124626980021,-0.7227521564490362,0.00969949,4.76742e-05
980.284,11.6277,9.135034632383055,-0.8460841882733431,0.00670712,3.15715e-05
987.753,11.5653,9.124729126307544,-0.9808246876398201,0.00474965,2.22416e-05
995.241,11.5044,9.086690587411903,-1.1219153594919475,0.00330059,1.60362e-05
1002.75,11.4449,9.012035631081552,-1.2609608528073133,0.0022058,1.13127e-05
1010.27,11.3876,8.889146574614596,-1.3837103433964868,0.00124012,6.87705e-06
1017.82,11.3321,8.719015117601637,-1.4546871595288509,0.00071665,4.16791e-06
1025.38,11.2793,8.506931067814342,-1.416571709291179,1.07816e-05,1.05068e-07
1032.96,11.229,8.54354195460925,-1.1682703759800377,1.08239e-09,1.25308e-11
1040.57,11.182,8.54256022305137,-1.237751471726926,3.3992e-14,2.60316e-16
1048.19,11.1382,8.525431431841064,-1.2387922787617478,1.12696e-18,6.77157e-21
1055.83,11.0983,8.524301237636665,-1.2386417027000938,1e-24,1e-24
1063.49,11.0623,8.524262077517115,-1.2386331443686687,1e-24,1e-24
1071.17,11.0307,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1078.86,11.0036,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1086.58,10.9812,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1094.32,10.9637,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1102.07,10.9507,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1109.85,10.9426,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1117.64,10.9383,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1125.46,10.938,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1133.29,10.9406,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1141.15,10.9456,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1149.02,10.9519,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1156.92,10.9587,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1164.83,10.9648,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1172.76,10.9695,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1180.72,10.9716,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1188.69,10.9707,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1196.68,10.9658,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1204.7,10.9565,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1212.73,10.9428,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1220.79,10.9239,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1228.86,10.9003,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1236.95,10.8719,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1245.07,10.8387,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1253.21,10.8013,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1261.36,10.7596,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1269.54,10.714,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1277.74,10.6652,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1285.95,10.6129,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1294.19,10.558,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1302.45,10.5005,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1310.73,10.4406,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1319.03,10.3788,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1327.35,10.3153,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1335.7,10.25,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1344.06,10.1835,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1352.44,10.1158,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1360.85,10.0469,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1369.28,9.97707,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1377.73,9.90643,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1386.19,9.83502,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1394.69,9.76295,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1403.2,9.69028,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1411.73,9.61708,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1420.29,9.54338,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1428.86,9.46924,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1437.46,9.3947,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1446.08,9.31978,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1454.72,9.24451,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1463.39,9.16893,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1472.07,9.09304,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1480.78,9.01685,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1489.51,8.9404,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1498.26,8.86368,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1507.03,8.78671,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1515.83,8.7095,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1524.64,8.63205,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1533.48,8.55437,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1542.34,8.47646,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1551.23,8.39832,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1560.13,8.31997,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1569.06,8.2414,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1578.01,8.16262,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1586.99,8.08362,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1595.98,8.00442,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1605.0,7.925,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1614.04,7.84537,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1623.11,7.76553,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1632.2,7.68548,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1641.31,7.60523,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1650.44,7.52476,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1659.59,7.44409,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1668.77,7.36321,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1677.98,7.28212,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1687.2,7.20082,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1696.45,7.11932,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1705.72,7.0376,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1715.02,6.95568,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1724.34,6.87354,8.524262092486179,-1.2386330454953804,1e-24,1e-24
1733.68,6.7912,8.524262092486179,-1.2386330454953804,1e-24,1e-24
